Date,Close
2019-01-02,262.86825763
2019-01-03,257.33801946
2019-01-04,265.18903571
2019-01-07,264.18544649
2019-01-08,266.25260073
2019-01-09,266.38197876
2019-01-10,264.4648766
2019-01-11,266.99525955
2019-01-14,264.25848353
2019-01-15,263.9971837
2019-01-16,267.79693725
2019-01-17,268.58939408
2019-01-18,272.42283145
2019-01-22,266.64519529
2019-01-23,266.23101188
2019-01-24,265.19660124
2019-01-25,273.49816341
2019-01-28,268.75885316
2019-01-29,273.26234402
2019-01-30,277.40627396
2019-01-31,279.17799724
2019-02-01,278.01503765
2019-02-04,280.03891064
2019-02-05,282.31123847
2019-02-06,284.17932829
2019-02-07,283.51962881
2019-02-08,281.84680523
2019-02-11,279.68103733
2019-02-12,277.81159948
2019-02-13,277.92652858
2019-02-14,278.20715328
2019-02-15,280.5412782
2019-02-19,287.98269353
2019-02-20,292.21618376
2019-02-21,290.14721291
2019-02-22,295.04807523
2019-02-25,295.14915048
2019-02-26,295.40506099
2019-02-27,296.62737119
2019-02-28,295.23943973
2019-03-01,293.62081053
2019-03-04,291.36397001
2019-03-05,293.79095452
2019-03-06,292.38314992
2019-03-07,291.61204323
2019-03-08,289.81611776
2019-03-11,290.51836743
2019-03-12,293.23199239
2019-03-13,293.91764933
2019-03-14,289.64294687
2019-03-15,291.18461164
2019-03-18,291.55360516
2019-03-19,292.90249962
2019-03-20,292.80799319
2019-03-21,291.31615866
2019-03-22,285.05347579
2019-03-25,286.46438622
2019-03-26,286.10198387
2019-03-27,286.94019087
2019-03-28,287.9003518
2019-03-29,294.13649176
2019-04-01,293.06963199
2019-04-02,291.28385145
2019-04-03,295.42507929
2019-04-04,291.61766331
2019-04-05,290.20734315
2019-04-08,294.01239611
2019-04-09,294.23908385
2019-04-10,293.55740233
2019-04-11,289.78626868
2019-04-12,295.50975976
2019-04-15,294.56282251
2019-04-16,294.19533943
2019-04-17,297.66132068
2019-04-18,293.05716083
2019-04-22,291.26248719
2019-04-23,290.53837588
2019-04-24,292.10835582
2019-04-25,287.34600404
2019-04-26,290.05352957
2019-04-29,290.40749869
2019-04-30,291.13523972
2019-05-01,280.8778987
2019-05-02,278.51670161
2019-05-03,282.39623031
2019-05-06,283.58009256
2019-05-07,279.08957685
2019-05-08,277.94636317
2019-05-09,277.57735544
2019-05-10,277.87021288
2019-05-13,272.33453472
2019-05-14,272.92980213
2019-05-15,274.54712102
2019-05-16,275.16423548
2019-05-17,274.23033074
2019-05-20,272.95860694
2019-05-21,271.95848852
2019-05-22,268.35422158
2019-05-23,268.45210099
2019-05-24,270.33760488
2019-05-28,269.96434945
2019-05-29,266.83715367
2019-05-30,265.77156381
2019-05-31,264.17026478
2019-06-03,265.20993889
2019-06-04,267.10935851
2019-06-05,262.52025923
2019-06-06,265.19433137
2019-06-07,262.92439312
2019-06-10,266.2969486
2019-06-11,267.38274163
2019-06-12,265.60323329
2019-06-13,265.82310351
2019-06-14,263.12991948
2019-06-17,264.65752453
2019-06-18,270.23487773
2019-06-19,268.06683759
2019-06-20,271.23740117
2019-06-21,270.52522573
2019-06-24,270.6608303
2019-06-25,273.71115885
2019-06-26,271.80586901
2019-06-27,271.89986624
2019-06-28,271.66029523
2019-07-01,269.14582546
2019-07-02,266.78561023
2019-07-03,268.59086324
2019-07-05,266.45826389
2019-07-08,266.30284129
2019-07-09,262.88367819
2019-07-10,269.74706853
2019-07-11,269.14234423
2019-07-12,269.82038567
2019-07-15,271.44189349
2019-07-16,270.37088327
2019-07-17,271.9589546
2019-07-18,271.3631165
2019-07-19,275.67287518
2019-07-22,272.74316821
2019-07-23,270.49888091
2019-07-24,271.72369243
2019-07-25,270.97265302
2019-07-26,269.11723944
2019-07-29,272.26114441
2019-07-30,268.44112141
2019-07-31,267.23701895
2019-08-01,267.17994714
2019-08-02,257.83499599
2019-08-05,255.04950329
2019-08-06,256.34994459
2019-08-07,257.71451299
2019-08-08,261.3227557
2019-08-09,259.51877091
2019-08-12,259.14030656
2019-08-13,263.65141627
2019-08-14,259.84571103
2019-08-15,260.17634587
2019-08-16,260.14136413
2019-08-19,260.76473642
2019-08-20,258.41650525
2019-08-21,259.23901945
2019-08-22,256.61844637
2019-08-23,253.85555173
2019-08-26,255.15289793
2019-08-27,255.50069712
2019-08-28,256.6656787
2019-08-29,257.97874617
2019-08-30,255.4252003
2019-09-03,253.06430755
2019-09-04,259.77140964
2019-09-05,264.50889206
2019-09-06,263.74088922
2019-09-09,263.06366633
2019-09-10,263.12302386
2019-09-11,261.82385275
2019-09-12,264.4197834
2019-09-13,270.3359446
2019-09-16,264.49353425
2019-09-17,263.11505724
2019-09-18,261.6964083
2019-09-19,261.26422405
2019-09-20,261.05348728
2019-09-23,261.53856626
2019-09-24,261.02546979
2019-09-25,261.57194937
2019-09-26,258.1715548
2019-09-27,260.18581546
2019-09-30,258.31834812
2019-10-01,256.50596377
2019-10-02,257.45856807
2019-10-03,255.73563469
2019-10-04,256.60162861
2019-10-07,258.07465729
2019-10-08,257.28278787
2019-10-09,257.20831447
2019-10-10,261.70009559
2019-10-11,263.19643001
2019-10-14,263.81482344
2019-10-15,261.82627903
2019-10-16,259.40958548
2019-10-17,260.19843659
2019-10-18,264.02024046
2019-10-21,265.09034715
2019-10-22,263.80394641
2019-10-23,267.54654145
2019-10-24,267.21546688
2019-10-25,267.9911075
2019-10-28,268.77122035
2019-10-29,269.61609718
2019-10-30,269.05161482
2019-10-31,264.29843611
2019-11-01,265.76287985
2019-11-04,267.59730414
2019-11-05,270.53421277
2019-11-06,267.04267991
2019-11-07,273.30646509
2019-11-08,268.85216782
2019-11-11,267.12683024
2019-11-12,265.39623478
2019-11-13,264.87400057
2019-11-14,263.22636553
2019-11-15,264.8888629
2019-11-18,263.15988182
2019-11-19,266.76203338
2019-11-20,266.04623019
2019-11-21,263.61980673
2019-11-22,265.97420234
2019-11-25,266.32656598
2019-11-26,269.9620668
2019-11-27,269.93992097
2019-11-29,266.53428781
2019-12-02,265.45945401
2019-12-03,262.69527309
2019-12-04,266.27056541
2019-12-05,266.7176608
2019-12-06,272.91259064
2019-12-09,276.30124485
2019-12-10,277.07417205
2019-12-11,279.43621104
2019-12-12,280.20842682
2019-12-13,278.64607162
2019-12-16,281.62750229
2019-12-17,281.88056352
2019-12-18,281.70306552
2019-12-19,283.08152916
2019-12-20,281.04905514
2019-12-23,281.30321048
2019-12-24,283.18474709
2019-12-26,285.35052474
2019-12-27,283.39744148
2019-12-30,283.8504922
2019-12-31,280.27301419
2020-01-02,282.98755427
2020-01-03,279.21132925
2020-01-06,279.49234339
2020-01-07,279.89284634
2020-01-08,281.69459365
2020-01-09,280.71208111
2020-01-10,281.83869674
2020-01-13,286.55601594
2020-01-14,287.84287888
2020-01-15,287.11261889
2020-01-16,285.19294752
2020-01-17,285.06032919
2020-01-21,279.91955039
2020-01-22,277.16165421
2020-01-23,273.24804842
2020-01-24,269.06500078
2020-01-27,260.35797885
2020-01-28,258.54300419
2020-01-29,256.00597503
2020-01-30,252.99348519
2020-01-31,252.26913582
2020-02-03,251.32375558
2020-02-04,254.86790206
2020-02-05,258.12594647
2020-02-06,259.98857133
2020-02-07,256.09969578
2020-02-10,255.84641253
2020-02-11,259.14777259
2020-02-12,260.86718313
2020-02-13,262.1648556
2020-02-14,260.83308213
2020-02-18,261.28780191
2020-02-19,261.58364043
2020-02-20,259.82606514
2020-02-21,261.80506128
2020-02-24,258.5808398
2020-02-25,258.42197104
2020-02-26,257.59597187
2020-02-27,257.35426616
2020-02-28,254.36483429
2020-03-02,259.85153035
2020-03-03,257.62698962
2020-03-04,258.89346616
2020-03-05,257.64232518
2020-03-06,256.26311681
2020-03-09,251.3300434
2020-03-10,252.45047567
2020-03-11,250.42240584
2020-03-12,247.53194863
2020-03-13,246.71268203
2020-03-16,239.60852855
2020-03-17,231.72869146
2020-03-18,215.53485807
2020-03-19,218.89026318
2020-03-20,217.34611082
2020-03-23,210.22144485
2020-03-24,218.29581634
2020-03-25,220.80870075
2020-03-26,218.28609027
2020-03-27,217.64127787
2020-03-30,216.1352853
2020-03-31,223.28174431
2020-04-01,218.01100822
2020-04-02,222.34394261
2020-04-03,219.67390177
2020-04-06,222.19929854
2020-04-07,227.87144866
2020-04-08,227.03765674
2020-04-09,227.26346681
2020-04-13,231.82231532
2020-04-14,234.31610727
2020-04-15,230.90181272
2020-04-16,230.59197358
2020-04-17,235.8260052
2020-04-20,233.82407581
2020-04-21,226.46602068
2020-04-22,231.17518439
2020-04-23,232.33908986
2020-04-24,234.26435766
2020-04-27,235.09855102
2020-04-28,235.16389326
2020-04-29,237.62417949
2020-04-30,234.97347084
2020-05-01,231.74900313
2020-05-04,231.91706259
2020-05-05,233.97058095
2020-05-06,235.49808122
2020-05-07,238.70655644
2020-05-08,241.32524882
2020-05-11,238.68717879
2020-05-12,236.61236099
2020-05-13,235.3591226
2020-05-14,235.31254248
2020-05-15,233.76063464
2020-05-18,241.0910039
2020-05-19,242.57459983
2020-05-20,246.7471
2020-05-21,244.03977995
2020-05-22,239.4980251
2020-05-26,242.70466975
2020-05-27,239.1670546
2020-05-28,242.27629192
2020-05-29,243.45593216
2020-06-01,247.9019359
2020-06-02,249.98136211
2020-06-03,249.61824315
2020-06-04,249.85572544
2020-06-05,256.58435882
2020-06-08,257.8208452
2020-06-09,261.21783281
2020-06-10,267.08380189
2020-06-11,260.22987938
2020-06-12,261.91143311
2020-06-15,258.8572466
2020-06-16,258.93399162
2020-06-17,261.19805827
2020-06-18,261.27812842
2020-06-19,263.16813563
2020-06-22,266.74432293
2020-06-23,267.45447151
2020-06-24,266.49936912
2020-06-25,268.48686529
2020-06-26,268.57297691
2020-06-29,269.97094835
2020-06-30,273.54198776
2020-07-01,274.21069293
2020-07-02,275.60785785
2020-07-06,278.02694756
2020-07-07,280.38183088
2020-07-08,283.04916247
2020-07-09,284.70239869
2020-07-10,290.55550527
2020-07-13,296.36947976
2020-07-14,294.27065188
2020-07-15,289.49230388
2020-07-16,291.03009083
2020-07-17,291.36049777
2020-07-20,292.51791647
2020-07-21,296.79197592
2020-07-22,293.4686031
2020-07-23,294.7444932
2020-07-24,290.24583596
2020-07-27,290.91183273
2020-07-28,292.89732377
2020-07-29,293.03201434
2020-07-30,292.62573701
2020-07-31,288.27387902
2020-08-03,292.72356912
2020-08-04,291.10225712
2020-08-05,293.3547119
2020-08-06,292.89175449
2020-08-07,281.152281
2020-08-10,288.06683145
2020-08-11,289.48811944
2020-08-12,291.10226407
2020-08-13,283.10093311
2020-08-14,288.18816258
2020-08-17,292.30468391
2020-08-18,299.16534227
2020-08-19,303.84720297
2020-08-20,299.30771588
2020-08-21,293.71921005
2020-08-24,294.961546
2020-08-25,295.7611744
2020-08-26,298.62492256
2020-08-27,299.52649643
2020-08-28,302.39525558
2020-08-31,306.70996613
2020-09-01,303.42562339
2020-09-02,302.70407277
2020-09-03,298.19335262
2020-09-04,306.77484758
2020-09-08,303.17583474
2020-09-09,305.83064461
2020-09-10,300.52836566
2020-09-11,304.59297569
2020-09-14,307.47092144
2020-09-15,306.95567313
2020-09-16,306.7240794
2020-09-17,307.66853944
2020-09-18,311.79168046
2020-09-21,303.24160973
2020-09-22,306.1435644
2020-09-23,299.61120669
2020-09-24,297.06899309
2020-09-25,297.34847996
2020-09-28,299.31218289
2020-09-29,299.28414184
2020-09-30,303.5894889
2020-10-01,287.03394136
2020-10-02,298.16847996
2020-10-05,296.78167661
2020-10-06,296.8552364
2020-10-07,303.65535023
2020-10-08,304.31512028
2020-10-09,308.21950232
2020-10-12,306.64924082
2020-10-13,304.81119161
2020-10-14,305.50508683
2020-10-15,308.82702451
2020-10-16,306.90924052
2020-10-19,308.65292622
2020-10-20,314.68436862
2020-10-21,319.65362829
2020-10-22,315.3612891
2020-10-23,312.95165231
2020-10-26,309.03720094
2020-10-27,309.5896693
2020-10-28,306.64469029
2020-10-29,305.92385309
2020-10-30,305.0681423
2020-11-02,308.03076003
2020-11-03,309.26291622
2020-11-04,310.7978821
2020-11-05,311.31347515
2020-11-06,315.78318612
2020-11-09,316.03828668
2020-11-10,316.11323546
2020-11-11,313.98532173
2020-11-12,315.0930414
2020-11-13,318.37282871
2020-11-16,322.85737365
2020-11-17,320.80918974
2020-11-18,321.06181172
2020-11-19,321.77964081
2020-11-20,330.69982513
2020-11-23,327.69782867
2020-11-24,331.95705035
2020-11-25,333.14053173
2020-11-27,341.80962005
2020-11-30,343.90709997
2020-12-01,348.62491683
2020-12-02,348.95888511
2020-12-03,349.13573017
2020-12-04,352.56707906
2020-12-07,351.83860158
2020-12-08,350.11152627
2020-12-09,351.53873379
2020-12-10,357.73128476
2020-12-11,353.02116007
2020-12-14,352.93792012
2020-12-15,354.65055816
2020-12-16,356.02790547
2020-12-17,360.2640099
2020-12-18,363.40937352
2020-12-21,358.01321323
2020-12-22,352.2835468
2020-12-23,355.82267862
2020-12-24,356.45482051
2020-12-28,357.32013556
2020-12-29,355.72573702
2020-12-30,355.12258643
2020-12-31,352.10271092
2021-01-04,355.72519212
2021-01-05,364.18592207
2021-01-06,365.31297636
2021-01-07,369.8578819
2021-01-08,367.62177684
2021-01-11,356.69141524
2021-01-12,360.72825014
2021-01-13,361.86986421
2021-01-14,366.53916026
2021-01-15,360.37829871
2021-01-19,363.44488958
2021-01-20,364.2645926
2021-01-21,364.92509084
2021-01-22,362.75645246
2021-01-25,363.15369866
2021-01-26,362.23514206
2021-01-27,356.0610041
2021-01-28,357.76825791
2021-01-29,355.51104751
2021-02-01,354.4342478
2021-02-02,352.36594623
2021-02-03,356.40454496
2021-02-04,355.30860314
2021-02-05,362.44028936
2021-02-08,366.35033868
2021-02-09,371.57186051
2021-02-10,377.03049868
2021-02-11,377.05619004
2021-02-12,378.41932478
2021-02-16,383.00941042
2021-02-17,382.05483424
2021-02-18,390.14368214
2021-02-19,407.23401292
2021-02-22,414.39464545
2021-02-23,418.28262596
2021-02-24,429.89022621
2021-02-25,425.84651106
2021-02-26,408.93082742
2021-03-01,411.07667493
2021-03-02,421.7430963
2021-03-03,413.89959963
2021-03-04,397.6307103
2021-03-05,407.30106241
2021-03-08,408.97577768
2021-03-09,400.57976835
2021-03-10,402.99497051
2021-03-11,413.73311065
2021-03-12,413.80411193
2021-03-15,413.84958685
2021-03-16,407.02961284
2021-03-17,411.77286917
2021-03-18,410.63410871
2021-03-19,411.07478066
2021-03-22,413.82025542
2021-03-23,407.8487901
2021-03-24,406.39470679
2021-03-25,397.76285694
2021-03-26,406.72047194
2021-03-29,403.46629885
2021-03-30,397.89448362
2021-03-31,399.66651816
2021-04-01,399.13599963
2021-04-05,413.76957335
2021-04-06,411.54896255
