date,pnl,cum,delta,target_delta,stress,trend,tail_active
2020-03-31,-1.524291392151639,-1.524291392151639,0.25,0.25,1.0,0.0,1.0
2020-04-01,-1.10029555250117,-2.624586944652809,0.21283374343152617,0.25,1.0,0.0,1.0
2020-04-02,0.9573197839141536,-1.6672671607386556,0.24146129140217032,0.25,1.0,0.0,1.0
2020-04-03,-0.6437691277444924,-2.311036288483148,0.2254894447951955,0.25,1.0,0.0,1.0
2020-04-06,0.3094178256398793,-2.0016184628432687,0.25126036847754074,0.25,1.0,0.0,1.0
2020-04-07,1.5481911137515443,-0.45342734909172444,0.27936610723051236,0.25,1.0,0.0,1.0
2020-04-08,-0.2946381953168591,-0.7480655444085835,0.2782174763212867,0.25,1.0,0.0,1.0
2020-04-09,1.022175137182205,0.27410959277362146,0.6103848792889522,0.6103848792889522,0.0,0.0,0.0
2020-04-13,-0.2731684660724485,0.0009411267011729674,0.25,0.25,1.0,0.0,1.0
2020-04-14,2.9683532687238072,2.9692943954249804,0.6187063048266327,0.6187063048266327,0.0,0.0,0.0
2020-04-15,-2.6944226574947194,0.274871737930261,0.25,0.25,1.0,0.0,1.0
2020-04-16,-1.1852430736375394,-0.9103713357072785,0.302392831225181,0.25,1.0,0.0,1.0
2020-04-17,1.6592502917998464,0.7488789560925679,0.31948101367076365,0.25,1.0,0.0,1.0
2020-04-20,-0.6937913406994307,0.055087615393137224,0.31771908892968037,0.25,1.0,0.0,1.0
2020-04-21,-2.30146899346443,-2.246381378071293,0.28995982359002026,0.25,1.0,0.0,1.0
2020-04-22,1.3041771945820406,-0.9422041834892523,0.3225652944427331,0.25,1.0,0.0,1.0
2020-04-23,0.35926649173520864,-0.5829376917540436,0.32815056973769174,0.25,1.0,0.0,1.0
2020-04-24,0.46519143262045537,-0.11774625913358827,0.25,0.25,1.0,0.0,1.0
2020-04-27,0.1879414476453276,0.07019518851173934,0.2544770708081917,0.25,1.0,0.0,1.0
2020-04-28,0.11265182990628364,0.18284701841802298,0.9250082205698482,0.9250082205698482,0.0,0.0,0.0
2020-04-29,2.488795490684165,2.671642509102188,1.0115877820785857,1.0115877820785857,0.0,0.0,0.0
2020-04-30,-2.681424484190006,-0.009781975087818306,1.0115877820785857,1.0614649598747992,0.0,0.0,0.0
2020-05-01,-3.261832139142915,-3.2716141142307333,1.0115877820785857,1.0859604772263554,0.0,0.0,0.0
2020-05-04,0.18574537634454444,-3.085868737886189,1.1052360655243687,1.1052360655243687,0.0,0.0,0.0
2020-05-05,2.2696225526884524,-0.8162461851977367,1.1052360655243687,1.1125122976005681,0.0,0.0,0.0
2020-05-06,1.8410254293112471,1.0247792441135104,1.2052537505026162,1.2052537505026162,0.0,0.0,0.0
2020-05-07,3.867026792299737,4.891806036413247,1.2052537505026162,1.1763797126075974,0.0,0.0,0.0
2020-05-08,3.156188812407621,8.047994848820869,1.2052537505026162,1.1574732117457445,0.0,0.0,0.0
2020-05-11,-3.1795437977460765,4.868451051074793,1.2052537505026162,1.202775073986977,0.0,0.0,0.0
2020-05-12,-2.5006819350595593,2.3677691160152334,1.2052537505026162,1.2095430185665592,0.0,0.0,0.0
2020-05-13,-1.5104702698213688,0.8572988461938646,1.2052537505026162,1.244394499431575,0.0,0.0,0.0
2020-05-14,-0.05614086432888093,0.8011579818649838,1.2052537505026162,1.24473724722659,0.0,0.0,0.0
2020-05-15,-2.087487258165804,-1.2863292763008203,1.345110324441576,1.345110324441576,0.0,0.0,0.0
2020-05-18,8.57812714245928,7.2917978661584595,1.1702176027158668,1.1702176027158668,0.0,0.0,0.0
2020-05-19,2.0345676724481834,9.326365538606643,1.3713758789080621,1.3713758789080621,0.0,0.0,0.0
2020-05-20,5.722066087877758,15.048431626484401,1.3713758789080621,1.4072367332922355,0.0,0.0,0.0
2020-05-21,-3.7127534130541586,11.335678213430242,1.3713758789080621,1.380888555901517,0.0,0.0,0.0
2020-05-22,-6.228453049203689,5.107225164226553,1.3713758789080621,1.310982982454682,0.0,0.0,0.0
2020-05-26,4.0891039363958415,9.196329100622394,1.2751970931346752,1.2751970931346752,0.0,0.0,0.0
2020-05-27,-4.51115655590918,4.685172544713215,1.2751970931346752,1.2324042331315646,0.0,0.0,0.0
2020-05-28,3.964890392329855,8.650062937043069,1.2751970931346752,1.221509669975987,0.0,0.0,0.0
2020-05-29,1.5042738049926876,10.154336742035756,1.2751970931346752,1.2407386689818678,0.0,0.0,0.0
2020-06-01,5.669531045313906,15.823867787349663,1.2751970931346752,1.215249687109161,0.0,0.0,0.0
2020-06-02,2.651678258380029,18.475546045729693,1.2751970931346752,1.2029124504527402,0.0,0.0,0.0
2020-06-03,-0.46304824225406094,18.012497803475632,1.2751970931346752,1.2164004641937662,0.0,0.0,0.0
2020-06-04,0.30283672587893307,18.315334529354566,1.2751970931346752,1.2239893444385948,0.0,0.0,0.0
2020-06-05,7.653410319314734,25.9687448486693,1.1374390440209634,1.1374390440209634,0.0,0.0,0.0
2020-06-08,1.4064278860121766,27.375172734681477,1.1374390440209634,1.1519415387267886,0.0,0.0,0.0
2020-06-09,3.8638663396694533,31.23903907435093,1.1374390440209634,1.144235114028948,0.0,0.0,0.0
2020-06-10,6.672182262611746,37.911221336962676,1.1374390440209634,1.086031929138779,0.0,0.0,0.0
2020-06-11,-2.079495667184423,35.83172566977825,0.25,0.25,1.0,0.0,1.0
2020-06-12,0.4214029487838914,36.253128618562144,0.2547353819323531,0.25,1.0,0.0,1.0
2020-06-15,-1.5692459754450818,34.68388264311706,0.5,0.5,1.0,1.0,1.0
2020-06-16,-0.06236369523611482,34.62151894788094,0.5112567298338534,0.5,1.0,1.0,1.0
2020-06-17,2.5546214448297753,37.17614039271072,1.1035201840266213,1.1035201840266213,0.0,1.0,0.0
2020-06-18,0.08835902666302062,37.26449941937374,1.1035201840266213,1.1451489984236674,0.0,1.0,0.0
2020-06-19,2.085661104190865,39.350160523564604,1.1035201840266213,1.155858581489059,0.0,1.0,0.0
2020-06-22,3.9463948674096825,43.296555390974284,1.1035201840266213,1.1833881773897672,0.0,1.0,0.0
2020-06-23,0.8612824001214398,44.15783779109572,1.2128199990506616,1.2128199990506616,0.0,1.0,0.0
2020-06-24,-1.1583672797331281,42.999470511362595,1.2128199990506616,1.2510192227825696,0.0,1.0,0.0
2020-06-25,2.4104751030126454,45.40994561437524,1.2128199990506616,1.273649606135807,0.0,1.0,0.0
