Date,daily_pnl
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,1.476456736319182
2020-06-01,-6.001657222654886
2020-06-02,0.0
2020-06-03,1.5709620247766167
2020-06-04,0.0
2020-06-05,0.716447439087609
2020-06-08,-9.941259079891255
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,-9.025291596115688
2020-06-12,0.0
2020-06-15,-6.279172721922368
2020-06-16,0.0
2020-06-17,-2.284761837599456
2020-06-18,0.0
2020-06-19,-2.4375720021084843
2020-06-22,1.068697147895667
2020-06-23,0.0
2020-06-24,5.201201263676359
2020-06-25,0.0
2020-06-26,8.855208604599552
2020-06-29,6.8559691793181825
2020-06-30,0.0
2020-07-01,0.684686552577508
2020-07-02,0.0
2020-07-06,-5.82346012755762
2020-07-07,0.0
2020-07-08,-6.145925245196513
2020-07-09,0.0
2020-07-10,-16.020910983887227
2020-07-13,-16.864991541384715
2020-07-14,0.0
2020-07-15,-9.425961717892202
2020-07-16,0.0
2020-07-17,-5.469511527762809
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,-5.727445283856437
2020-07-23,0.0
2020-07-24,3.1182568024924717
2020-07-27,3.6255952730947025
2020-07-28,0.0
2020-07-29,5.208537904893234
2020-07-30,0.0
2020-07-31,5.031692421120416
2020-08-03,6.987491167440757
2020-08-04,0.0
2020-08-05,5.837214978979146
2020-08-06,0.0
2020-08-07,-0.43476127305406836
2020-08-10,4.6927328494842175
2020-08-11,0.0
2020-08-12,4.6701168554531485
2020-08-13,0.0
2020-08-14,3.3601228162653154
2020-08-17,4.177611188013254
2020-08-18,0.0
2020-08-19,-0.15275903960831458
2020-08-20,0.0
2020-08-21,3.26797227371844
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-08,7.53947835295335
2020-09-09,7.9998855832104905
2020-09-10,0.0
2020-09-11,7.758185219935747
2020-09-14,9.810201382890932
2020-09-15,0.0
2020-09-16,11.380806048891111
2020-09-17,0.0
2020-09-18,7.503797288476963
2020-09-21,9.781111479647555
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,8.161778753893657
2020-09-25,0.0
2020-09-28,8.83949340532164
2020-09-29,0.0
2020-09-30,7.631871200481102
2020-10-01,0.0
2020-10-02,2.2521827951487188
2020-10-05,-0.5045836710132183
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,1.9720884466763255
2020-10-13,0.0
2020-10-14,3.5214721976728844
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,3.153132069550346
2020-12-18,0.0
2020-12-21,5.292405567070847
2020-12-22,0.0
2020-12-23,5.242311432233158
2020-12-24,0.0
2020-12-28,15.98302266822479
2020-12-29,0.0
2020-12-30,9.731945876652013
2020-12-31,0.0
2021-01-04,15.479526052660166
2021-01-05,0.0
