Date,close,return,rv_m,rv_l,atm_iv,garch,regime,month,vrp,vrp_z,rvr,rvr_z,garch_z,regime_vol,rho_sv,vol_of_vol,tradeable,garch_median,garch_high,is_jump,jump_count_30d,no_jump_cluster,signal,dow
2019-06-24,270.6608303,0.000501138458121959,0.14807606896588518,0.1685223993091269,0.1362265879998449,0.17037557892121724,0.019452303846398955,6,-0.011849480966040271,0.684403144846842,1.0700747359245752,0.3297368243634025,-0.34295850509784115,0.17609481427150178,-0.06633281998872455,0.16703083031598548,False,,False,False,0.0,True,0,0
2019-06-25,273.71115885,0.011206897254511367,0.15324803570301557,0.1643123793188178,0.13745688246067148,0.1647361205247107,0.020170922339591106,6,-0.01579115324234409,0.17729136324642353,0.7918589104844529,-0.6277900033651443,-0.812418126624905,0.17620290807134278,-0.059054614413301926,0.16646207038063132,False,,False,False,0.0,True,0,1
2019-06-26,271.80586901,-0.006985290980705373,0.14963044001665163,0.1647666186638112,0.13929537700209765,0.16757633196793922,0.019821782780943174,6,-0.010335063014553975,0.9164426010799175,0.7705289057608266,-0.6911016729474854,-0.554984102995627,0.1761503908846483,-0.05706477123880354,0.1656868559202916,False,,False,False,0.0,True,0,2
2019-06-27,271.89986624,0.0003457650888793755,0.14895983828685516,0.16429133555985118,0.1388953773321506,0.16530133937696817,0.018383865415157744,6,-0.010064460954704563,0.9615049988302202,0.582430735608129,-1.2961767880248307,-0.7245219345612304,0.17593410094304848,-0.05705354938910499,0.16486480341291557,False,,False,False,0.0,True,0,3
2019-06-28,271.66029523,-0.0008814885361163988,0.14744032806858107,0.16173399469023791,0.1364512069818641,0.16077851389419784,0.020373839334573058,6,-0.010989121086716958,0.8396001726019593,0.5815642958101126,-1.2539516247860483,-1.0718481770813637,0.17623343062155222,-0.05701055030004139,0.1640580928527904,False,,False,False,0.0,True,0,4
2019-07-01,269.14582546,-0.009299036357247584,0.15044534221490924,0.16066846432540793,0.13819224421898832,0.15736803226692647,0.026398915133753396,7,-0.01225309799592092,0.6751894470098992,0.7148817057528133,-0.7782352358997711,-1.3050755130254088,0.17713971586696853,-0.06006845655186789,0.16336981565399086,False,,False,False,0.0,True,0,0
2019-07-02,266.78561023,-0.00880795688259484,0.15155728586180134,0.16137373316403805,0.1430634282286822,0.15982320480628012,0.02958198163376418,7,-0.008493857633119134,1.169869211181292,0.6431739121183051,-0.9977988248554035,-1.0707677356239127,0.1776185092133578,-0.061392838034122287,0.1626097418569582,False,,False,False,0.0,True,0,1
2019-07-03,268.59086324,0.006743889361479244,0.1405651415578,0.1597492553455921,0.12846701756552792,0.16099740047199204,0.031134601189647643,7,-0.012098123992272086,0.6852522061929367,0.644657464885349,-0.9642289457002688,-0.9510656405719231,0.17785205253167316,-0.06788063651344284,0.1625960434390791,False,,False,False,0.0,True,0,2
2019-07-05,266.45826389,-0.007971644229399001,0.13879876977284283,0.16057467929915917,0.1317117505931761,0.15991990327594638,0.039181141051764116,7,-0.007087019179666726,1.3413908928383007,0.7316436705770637,-0.6578740702558409,-1.0057388191094392,0.17906240416819236,-0.06705198686374791,0.16183288146729877,False,,False,False,0.0,True,0,4
2019-07-08,266.30284129,-0.000583460777815793,0.13541889893069514,0.16050876016743948,0.12712206414339597,0.16011518292704965,0.04903969214998195,7,-0.008296834787299173,1.1703847797777855,0.7313604645682171,-0.6523032677467258,-0.9680284384395248,0.1805453165329983,-0.06699868946166725,0.16111956129782865,False,,False,False,0.0,True,0,0
2019-07-09,262.88367819,-0.01292251618252537,0.1356300894144494,0.1605063803795346,0.13070210632043502,0.15646743047923792,0.0736555129287546,7,-0.0049279830940143765,1.56667933778147,0.8321224613781358,-0.3208912031827213,-1.2276758588089873,0.18424800109982958,-0.06780491562876899,0.16038110804416508,False,,False,False,0.0,True,0,1
