date,pnl,cum,delta,target_delta,stress,trend,tail_active
2020-03-31,-1.524291392151639,-1.524291392151639,0.24999999999999994,0.25,1.0,0.0,1.0
2020-04-01,-1.1205032349554984,-2.6447946271071374,0.2119156330562479,0.25,1.0,0.0,1.0
2020-04-02,0.9739319915362883,-1.6708626355708491,0.24129756767982302,0.25,1.0,0.0,1.0
2020-04-03,-0.6540059023644883,-2.3248685379353375,0.22500320798485973,0.25,1.0,0.0,1.0
2020-04-06,0.3191000436693817,-2.005768494265956,0.25153523844452447,0.25,1.0,0.0,1.0
2020-04-07,1.5699377932477363,-0.43583070101821964,0.2804915268217629,0.25,1.0,0.0,1.0
2020-04-08,-0.2978349029616057,-0.7336656039798253,0.2793502214573873,0.25,1.0,0.0,1.0
2020-04-09,1.022175137182205,0.2885095332023797,0.6103848792889522,0.6103848792889522,0.0,0.0,0.0
2020-04-13,-0.2548212216917425,0.033688311510637226,0.25,0.25,1.0,0.0,1.0
2020-04-14,2.9683532687238072,3.0020415802344447,0.6187063048266327,0.6187063048266327,0.0,0.0,0.0
2020-04-15,-2.7071251710014717,0.294916409232973,0.25,0.25,1.0,0.0,1.0
2020-04-16,-1.1863957966387728,-0.8914793874057998,0.3040492592407401,0.25,1.0,0.0,1.0
2020-04-17,1.67872294021204,0.7872435528062403,0.32180254103692657,0.25,1.0,0.0,1.0
2020-04-20,-0.7012393024214325,0.08600425038480775,0.32003549189798003,0.25,1.0,0.0,1.0
2020-04-21,-2.3288438415636525,-2.2428395911788446,0.2914083136714106,0.25,1.0,0.0,1.0
2020-04-22,1.3216971287165407,-0.9211424624623039,0.3250632635484415,0.25,1.0,0.0,1.0
2020-04-23,0.26946436815881786,-0.6516780943034861,0.25,0.25,1.0,0.0,1.0
2020-04-24,0.47864765005124266,-0.17303044425224345,0.25625397219563273,0.25,1.0,0.0,1.0
2020-04-27,0.1937718506840524,0.02074140643180894,0.26094112004626957,0.25,1.0,0.0,1.0
2020-04-28,0.11265182990628364,0.13339323633809258,0.9250082205698482,0.9250082205698482,0.0,0.0,0.0
2020-04-29,2.488795490684165,2.6221887270222575,1.0115877820785857,1.0115877820785857,0.0,0.0,0.0
2020-04-30,-2.681424484190006,-0.05923575716774865,1.0115877820785857,1.0614649598747992,0.0,0.0,0.0
