entry,exit,dir,cK,pK,prem,exit_val,pnl,days,exit_reason,month_entry,regime_entry,size
2020-05-13,2020-05-29,short,240,230,5.762859134866339,4.561025953148366,1.476456736319182,16,expiry,5,0.08943300998761573,1.228503887876224
2020-05-15,2020-06-01,short,235,230,7.871866932557182,12.962370411777385,-6.001657222654886,17,expiry,5,0.19309330307142353,1.1789908890454701
2020-05-18,2020-06-03,short,245,235,6.801340715484635,5.459860637517381,1.5709620247766167,16,expiry,5,0.30884723261222063,1.171066235405521
2020-05-20,2020-06-05,short,250,245,7.781310797218055,7.247401923166643,0.716447439087609,16,expiry,5,0.2725229161062843,1.3418908617327454
2020-05-22,2020-06-08,short,245,235,5.394631527674875,12.894356170005944,-9.941259079891255,17,expiry,5,0.27538847893077684,1.3255498773620717
2020-05-26,2020-06-11,short,245,240,8.714592727721339,15.341889594729365,-9.025291596115688,16,expiry,5,0.23293336619647695,1.3618360211152374
2020-05-29,2020-06-15,short,245,240,9.202730853909756,13.949366237628928,-6.279172721922368,17,expiry,5,0.13759068387327109,1.322868140127164
2020-06-01,2020-06-17,short,250,245,9.607130034556661,11.400419141449014,-2.284761837599456,16,expiry,6,0.13815094883295595,1.2740621848524984
2020-06-03,2020-06-19,short,255,245,6.650628119976361,8.5503825367273,-2.4375720021084843,16,expiry,6,0.13661943234732046,1.2830984787377673
2020-06-05,2020-06-22,short,260,250,8.026711541733562,7.138246848102132,1.068697147895667,17,expiry,6,0.2652412923619256,1.2028583190262427
2020-06-08,2020-06-24,short,260,255,10.876708858710032,7.07027703086655,5.201201263676359,16,expiry,6,0.2627646327803693,1.3664243834948906
2020-06-10,2020-06-26,short,270,260,9.347989129224501,2.535841916558253,8.855208604599552,16,expiry,6,0.3626622827463321,1.299914451075648
2020-06-12,2020-06-29,short,265,255,10.139593820230843,5.491814416233441,6.8559691793181825,17,expiry,6,0.2325355899931608,1.4751064074645173
2020-06-15,2020-07-01,short,265,255,9.913029035229087,9.422258895453554,0.684686552577508,16,expiry,6,0.1590120658214748,1.3951267550439563
2020-06-19,2020-07-06,short,270,260,8.133332923563458,8.167838162790076,-0.042376287101696934,17,expiry,6,0.0275819896062845,1.2281116738065299
2020-06-17,2020-07-06,short,265,255,8.595968708043657,13.056019034860189,-5.781083840455923,19,expiry,6,0.05517984837961749,1.2961925128280583
2020-06-22,2020-07-08,short,270,260,8.060615035798861,13.133910440562211,-6.145925245196513,16,expiry,6,0.0245996114394113,1.2114266477418334
2020-06-24,2020-07-10,short,270,260,7.290684071477912,20.629469096224003,-16.020910983887227,16,expiry,6,0.016202929545896593,1.2010772311095246
2020-06-26,2020-07-13,short,275,265,7.029607668079819,21.4297479039897,-16.864991541384715,17,expiry,6,0.014057669904811708,1.171168562603869
2020-06-29,2020-07-15,short,275,265,6.378029345440197,14.571169547706901,-9.425961717892202,16,expiry,6,0.01488758186252038,1.1504699645301355
2020-07-01,2020-07-17,short,280,270,6.802206926447951,11.460380048818516,-5.469511527762809,16,expiry,7,0.01580678215837813,1.1741752365312157
2020-07-06,2020-07-22,short,280,275,8.524859430738985,13.554594299368484,-5.727445283856437,16,expiry,7,0.020278165271052088,1.1387171358829598
2020-07-08,2020-07-24,short,285,280,8.65230528548085,5.927487108816945,3.1182568024924717,16,expiry,7,0.034458426940917754,1.144390781446661
2020-07-10,2020-07-27,short,295,285,4.161890891587618,0.9744728592889338,3.6255952730947025,17,expiry,7,0.07936719570552646,1.1374709047749274
2020-07-13,2020-07-29,short,300,295,8.130017706004608,3.909814618438215,5.208537904893234,16,expiry,7,0.08706558655707837,1.234191292887938
2020-07-15,2020-07-31,short,295,285,5.487082507321034,1.4549203563141617,5.031692421120416,16,expiry,7,0.07239104132207125,1.2478894034219212
2020-07-17,2020-08-03,short,295,290,8.34436563445206,2.637557611397,6.987491167440757,17,expiry,7,0.03522291073731204,1.2244132164971795
2020-07-20,2020-08-05,short,295,290,8.207618083122881,3.266920195038864,5.837214978979146,16,expiry,7,0.03340777097572181,1.1814555577375718
